#{"t_start": 1768404118.0527816, "env_id": "LunarLander-v3"}
r,l,t
-59.473816,263,551.594761
-78.86677,166,551.663761
203.475264,569,552.040163
176.171547,382,552.282162
197.132225,580,554.06812
152.73703,449,554.380122
212.566578,504,554.64812
180.629315,409,554.918787
-62.468505,295,555.074488
195.906835,400,556.864565
-77.302682,254,556.997854
-254.571666,527,557.283854
-25.257047,446,557.54187
165.192298,370,557.756867
177.888165,368,559.451097
165.73218,422,559.731079
202.640125,483,560.002445
-60.494234,383,560.210444
-84.917942,341,560.401461
203.30571,507,562.173611
143.11849,426,562.443626
-74.722972,392,562.651611
-83.645435,352,562.855611
-112.933556,512,563.264171
143.383691,403,565.002627
149.928659,514,565.371614
214.033302,454,565.646615
130.004473,839,567.784985
-86.436478,378,568.025272
226.049551,530,568.408272
-87.994707,301,568.573272
23.95996,1000,571.007085
182.906605,544,571.361085
-116.968957,290,571.515085
90.782817,616,571.975501
163.310808,420,573.657612
-136.527619,355,573.874612
113.156862,577,574.198214
188.351438,434,574.473214
-69.607311,279,574.614215
-76.953309,229,574.715215
-211.129498,454,576.502408
182.495008,443,576.776408
164.813905,582,577.193845
-37.369617,416,577.426832
180.822437,531,579.154038
156.296586,423,579.425796
88.876023,628,579.805796
186.744137,400,580.053911
188.45812,476,581.930405
103.624647,602,582.409405
-36.511042,448,582.699405
-63.672177,163,582.766405
-85.669039,405,582.993406
174.982716,427,584.733406
185.040825,415,585.019775
171.873819,417,585.312793
112.547057,555,585.624775
226.527106,668,587.469013
219.293221,458,587.747013
139.337501,470,588.034412
125.657141,409,588.285398
196.624062,458,588.59641
-77.23603,444,590.380584
164.014846,447,590.664584
169.903708,439,590.943359
206.881467,491,591.203387
-104.872939,341,592.851465
-53.412446,197,592.981806
213.779845,473,593.251804
171.813161,419,593.502822
211.980283,487,593.779806
-70.300944,418,594.025439
205.320837,503,595.878548
164.539955,483,596.228957
